,Unnamed: 0,topic,freq,type,centrality
0,0,agreement_post,93,post,519
1,1,culture_post,29,post,686
2,2,dehuman_post,55,post,374
3,3,import_post,499,post,30611
4,4,ingroup_post,51,post,2664
5,5,insult_post,105,post,2937
6,6,opp_post,73,post,12942
7,7,others_post,215,post,12907
8,8,racist_post,108,post,2986
9,9,tyrannical_post,322,post,10321
10,10,vto pap_post,62,post,11082
11,11,agreement_comment,2776,comment,7255
12,12,culture_comment,1329,comment,2852
13,13,dehuman_comment,1122,comment,2747
14,14,import_comment,7494,comment,12576
15,15,ingroup_comment,1701,comment,4026
16,16,insult_comment,3601,comment,10242
17,17,opp_comment,1574,comment,4576
18,18,others_comment,3824,comment,9720
19,19,racist_comment,1129,comment,1842
20,20,tyrannical_comment,9695,comment,22964
21,21,vto pap_comment,2889,comment,9229
